 ENTRY         LNKCPI            LNKEX           USCPI
 1964:01  11.014360000000 11.750000000000 23.613000000000
 1964:02  11.047720000000 11.850000000000 23.587500000000
 1964:03  11.036600000000 12.000000000000 23.613000000000
 1964:04  11.103320000000 11.500000000000 23.638500000000
 1964:05  11.164480000000 11.850000000000 23.638500000000
 1964:06  11.175600000000 11.000000000000 23.689500000000
 1964:07  11.136680000000 11.300000000000 23.740500000000
 1964:08  11.097760000000 12.200000000000 23.715000000000
 1964:09  11.103320000000 12.500000000000 23.766000000000
 1964:10  11.175600000000 12.350000000000 23.791500000000
 1964:11  11.214520000000 12.750000000000 23.842500000000
 1964:12  11.136680000000 12.500000000000 23.868000000000
 1965:01  11.142240000000 15.350000000000 23.868000000000
 1965:02  11.125560000000 15.400000000000 23.868000000000
 1965:03  11.164480000000 15.000000000000 23.893500000000
 1965:04  11.125560000000 12.000000000000 23.970000000000
 1965:05  11.164480000000 12.000000000000 24.021000000000
 1965:06  11.142240000000 12.250000000000 24.148500000000
 1965:07  11.192280000000 12.250000000000 24.174000000000
 1965:08  11.136680000000 11.250000000000 24.123000000000
 1965:09  11.097760000000 11.350000000000 24.174000000000
 1965:10  11.103320000000 11.500000000000 24.199500000000
 1965:11  11.142240000000 12.000000000000 24.250500000000
 1965:12  11.153360000000 11.500000000000 24.327000000000
 1966:01  11.186720000000 11.600000000000 24.327000000000
 1966:02  11.186720000000 10.850000000000 24.480000000000
 1966:03  11.142240000000 12.000000000000 24.556500000000
 1966:04  11.142240000000 12.600000000000 24.658500000000
 1966:05  11.114440000000 12.000000000000 24.684000000000
 1966:06  11.097760000000 13.250000000000 24.760500000000
 1966:07  11.053280000000 12.250000000000 24.837000000000
 1966:08  11.075520000000 13.850000000000 24.964500000000
 1966:09  11.086640000000 12.900000000000 25.015500000000
 1966:10  11.125560000000 14.000000000000 25.117500000000
 1966:11  11.125560000000 13.350000000000 25.117500000000
 1966:12  11.153360000000 13.000000000000 25.143000000000
 1967:01  11.236760000000 13.600000000000 25.143000000000
 1967:02  11.236760000000 13.350000000000 25.168500000000
 1967:03  11.175600000000 13.350000000000 25.219500000000
 1967:04  11.214520000000 13.350000000000 25.270500000000
 1967:05  11.275680000000 13.300000000000 25.347000000000
 1967:06  11.353520000000 13.250000000000 25.423500000000
 1967:07  11.303480000000 14.000000000000 25.551000000000
 1967:08  11.414680000000 13.000000000000 25.627500000000
 1967:09  11.431360000000 12.750000000000 25.678500000000
 1967:10  11.442480000000 12.000000000000 25.755000000000
 1967:11  11.520320000000 13.000000000000 25.831500000000
 1967:12  11.820560000000 14.150000000000 25.908000000000
 1968:01  11.809440000000 12.500000000000 26.010000000000
 1968:02  11.770520000000 11.750000000000 26.086500000000
 1968:03  11.770520000000 11.600000000000 26.214000000000
 1968:04  11.781640000000 11.750000000000 26.290500000000
 1968:05  11.809440000000 11.400000000000 26.367000000000
 1968:06  11.915080000000 11.450000000000 26.520000000000
 1968:07  12.037400000000 11.600000000000 26.647500000000
 1968:08  12.115240000000 11.550000000000 26.724000000000
 1968:09  12.176400000000 11.500000000000 26.800500000000
 1968:10  12.204200000000 11.400000000000 26.953500000000
 1968:11  12.404360000000 11.600000000000 27.055500000000
 1968:12  12.621200000000 11.350000000000 27.132000000000
